dac_bin,load,current_mA,shunt_volts,dac_volts,sample_index,load_resistance_ohm,load_voltage_V,samples_in_bin,previous_slope_mA_per_V,next_slope_mA_per_V,local_slope_mA_per_V,reference_slope_mA_per_V,slope_threshold_mA_per_V,inside_common_voltage_limit,inside_linear_slope_region,compliance_candidate,compliance_run_id,compliance_run_points,max_compliance_run_points,in_common_compliance_region,row_index,fitted_mA,residual_mA,studentized_residual,leverage,cook_distance,influential_by_cook,outlier_by_studentized_residual,flagged
0.44,1k,34.56186079545454,0.34561860795454546,0.4402210582386364,7629,1000,34.56186079545454,176,-30.067906423933238,-42.022743789640025,-36.045325106786635,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,42,34.01434835274627,0.5475124427082757,1.4108034473974234,0.006263790460918423,0.006261915405501683,FALSE,FALSE,FALSE
0.45,1k,34.14163335755814,0.3414163335755814,0.4502698037790698,7810,1000,34.14163335755814,172,-42.022743789640025,-9.488369178274061,-25.755556483957044,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,43,33.734016828977715,0.4076165285804268,1.0494604625255852,0.0061892935523271365,0.0034289529759367974,FALSE,FALSE,FALSE
0.46,1k,34.0467496657754,0.340467496657754,0.4603684826203209,7982,1000,34.0467496657754,187,-9.488369178274061,-29.096509130731498,-19.29243915450278,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,44,33.45368530520916,0.5930643605662413,1.5285332300184757,0.0061154188621088176,0.007171040466443694,TRUE,FALSE,TRUE
0.47,1k,33.75578457446809,0.33755784574468084,0.47041389627659574,8169,1000,33.75578457446809,188,-29.096509130731498,-32.02486107809361,-30.560685104412553,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,45,33.1733537814406,0.5824307930274829,1.5009606111287055,0.006042166390263469,0.006832342565836461,FALSE,FALSE,FALSE
0.48,1k,33.43553596368715,0.3343553596368715,0.48015275837988824,8351,1000,33.43553596368715,179,-32.02486107809361,-33.23032050664591,-32.62759079236976,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,46,32.893022257672044,0.5425137060151054,1.3976703990421708,0.005969536136791091,0.0058558082109637305,FALSE,FALSE,FALSE
0.49,1k,33.10323275862069,0.3310323275862069,0.49019127155172415,8533,1000,33.10323275862069,174,-33.23032050664591,-26.712244756078693,-29.9712826313623,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,47,32.61269073390349,0.49054202471719766,1.2633308388022262,0.005897528101691681,0.004729163928208379,FALSE,FALSE,FALSE
0.5,1k,32.836110311059905,0.3283611031105991,0.4997501440092166,8723,1000,32.836110311059905,217,-26.712244756078693,-28.489079886477928,-27.60066232127831,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,48,32.33235921013493,0.5037511009249692,1.2974028515192033,0.005826142284965242,0.004926206846331763,FALSE,FALSE,FALSE
0.51,1k,32.551219512195125,0.32551219512195123,0.5104430259146342,8921,1000,32.551219512195125,164,-28.489079886477928,-34.75375815020524,-31.621419018341584,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,49,32.05202768636638,0.49919182582874494,1.2855799951009723,0.005755378686611772,0.004778004477597656,FALSE,FALSE,FALSE
0.52,1k,32.20368193069307,0.3220368193069307,0.5201508353960396,9100,1000,32.20368193069307,202,-34.75375815020524,-23.58805914073583,-29.170908645470536,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,50,31.771696162597824,0.43198576809524747,1.1120535516471277,0.005685237306631274,0.0035339786267274487,FALSE,FALSE,FALSE
0.53,1k,31.967801339285714,0.3196780133928571,0.529795918367347,9296,1000,31.967801339285714,196,-23.58805914073583,-31.244160091362232,-27.41610961604903,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,51,31.49136463882927,0.47643670045644415,1.2267314068470279,0.0056157181450237435,0.004245525320195022,FALSE,FALSE,FALSE
0.54,1k,31.65535973837209,0.3165535973837209,0.5401780523255814,9482,1000,31.65535973837209,172,-31.244160091362232,-25.49480617253861,-28.36948313195042,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,52,31.211033115060715,0.4443266233113768,1.1438154152816113,0.005546821201789185,0.003646736440718725,FALSE,FALSE,FALSE
0.55,1k,31.400411676646705,0.31400411676646706,0.5494124251497006,9649,1000,31.400411676646705,167,-25.49480617253861,-37.63670337895629,-31.56575477574745,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,53,30.93070159129216,0.4697100853545457,1.2092827491474918,0.005478546476927594,0.004024584282950135,FALSE,FALSE,FALSE
0.56,1k,31.02404464285714,0.3102404464285714,0.5597571428571428,9826,1000,31.02404464285714,175,-37.63670337895629,-21.780938342318247,-29.708820860637267,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,54,30.6503700675236,0.3736745753335412,0.9615453320478429,0.005410893970438973,0.002515318269361618,FALSE,FALSE,FALSE
0.57,1k,30.80623525943396,0.3080623525943396,0.5704635908018868,10016,1000,30.80623525943396,212,-21.780938342318247,-35.92901472544729,-28.85497653388277,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,55,30.37003854375505,0.4361967156789091,1.1227247378579028,0.005343863682323324,0.0033845305554526983,FALSE,FALSE,FALSE
0.58,1k,30.44694511217949,0.30446945112179485,0.5802403846153846,10200,1000,30.44694511217949,156,-35.92901472544729,-19.27372633422804,-27.601370529837666,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,56,30.0897070199865,0.3572380921929912,0.919124031555483,0.005277455612580643,0.0022416118219654234,FALSE,FALSE,FALSE
0.59,1k,30.254207848837208,0.3025420784883721,0.5904781976744186,10390,1000,30.254207848837208,215,-19.27372633422804,-24.88596345514933,-22.079844894688684,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,57,29.809375496217942,0.44483235261926585,1.1449269629790084,0.0052116697612109315,0.003431883010893341,FALSE,FALSE,FALSE
0.6,1k,30.005348214285714,0.30005348214285715,0.5999196428571428,10575,1000,30.005348214285714,175,-24.88596345514933,-44.306794084821234,-34.59637876998528,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,58,29.529043972449387,0.4763042418363275,1.2260994272767156,0.00514650612821419,0.003884967158736025,FALSE,FALSE,FALSE
0.61,1k,29.5622802734375,0.295622802734375,0.6100862630208334,10768,1000,29.5622802734375,192,-44.306794084821234,-19.94271660928673,-32.124755347053984,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,59,29.248712448680827,0.31356782475667355,0.8065482485315653,0.005081964713590418,0.0016624333504619796,FALSE,FALSE,FALSE
0.62,1k,29.362853107344634,0.29362853107344633,0.6202974929378531,10947,1000,29.362853107344634,177,-19.94271660928673,-40.84398759616544,-30.393352102726084,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,60,28.96838092491227,0.3944721824323613,1.0149566431119825,0.005018045517339616,0.0025975335866067193,FALSE,FALSE,FALSE
0.63,1k,28.95441323138298,0.2895441323138298,0.6300615026595745,11132,1000,28.95441323138298,188,-40.84398759616544,-29.019355682676437,-34.93167163942094,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,61,28.68804940114372,0.26636383023926175,0.6849777731779063,0.004954748539461784,0.0011692588778123819,FALSE,FALSE,FALSE
0.64,1k,28.664219674556215,0.28664219674556213,0.6404410133136095,11314,1000,28.664219674556215,169,-29.019355682676437,-14.484290901949125,-21.751823292312782,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,62,28.407717877375163,0.25650179718105237,0.659575933507761,0.004892073779956921,0.0010704285160283255,FALSE,FALSE,FALSE
0.65,1k,28.519376765536723,0.28519376765536725,0.6498419844632768,11479,1000,28.519376765536723,177,-14.484290901949125,-37.56267655367221,-26.023483727810667,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,63,28.12738635360661,0.3919904119301127,1.008464148108932,0.0048300212388250295,0.0024679116882863426,FALSE,FALSE,FALSE
0.66,1k,28.14375,0.2814375,0.6602327302631579,11667,1000,28.14375,190,-37.56267655367221,-22.639358108108333,-30.101017330890272,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,64,27.847054829838054,0.2966951701619454,0.7629825518352729,0.004768590916066106,0.0013956839718019098,FALSE,FALSE,FALSE
0.67,1k,27.917356418918917,0.2791735641891892,0.6694879645270271,11834,1000,27.917356418918917,148,-22.639358108108333,-25.944080978186058,-24.291719543147195,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,65,27.5667233060695,0.35063311284942067,0.9018469630557636,0.0047077828116801525,0.0019241781360887268,FALSE,FALSE,FALSE
0.68,1k,27.657915609137056,0.27657915609137057,0.6798151967005076,12007,1000,27.657915609137056,197,-25.944080978186058,-33.05979008037275,-29.501935529279404,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,66,27.286391782300942,0.3715238268361151,0.9556347563205491,0.00464759692566717,0.0021324176978413743,FALSE,FALSE,FALSE
0.69,1k,27.327317708333332,0.2732731770833333,0.6907239583333333,12195,1000,27.327317708333332,180,-33.05979008037275,-32.930250563062884,-32.99502032171782,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,67,27.006060258532386,0.3212574498009463,0.8261456417113442,0.004588033258027157,0.001573807010843194,FALSE,FALSE,FALSE
0.7,1k,26.998015202702703,0.269980152027027,0.700338893581081,12365,1000,26.998015202702703,148,-32.930250563062884,-15.855768865775829,-24.393009714419357,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,68,26.72572873476383,0.27228646793887235,0.700071619893857,0.0045290918087601125,0.0011159129406150344,FALSE,FALSE,FALSE
0.71,1k,26.839457514044945,0.26839457514044945,0.7098630617977528,12521,1000,26.839457514044945,178,-15.855768865775829,-36.47292531753795,-26.16434709165689,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,69,26.445397210995274,0.39406030304966916,1.0136157310396088,0.004470772577866039,0.002306875416158332,FALSE,FALSE,FALSE
0.72,1k,26.474728260869565,0.2647472826086957,0.7199498980978261,12705,1000,26.474728260869565,184,-36.47292531753795,-34.39324759858448,-35.43308645806121,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,70,26.165065687226726,0.309662573642841,0.7962239976726223,0.004413075565344935,0.001405997834171674,FALSE,FALSE,FALSE
0.73,1k,26.13079578488372,0.2613079578488372,0.729751090116279,12884,1000,26.13079578488372,172,-34.39324759858448,-10.145550710594256,-22.26939915458937,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,71,25.88473416345817,0.2460616214255511,0.6325398023030989,0.0043560007711968005,8.761768372131998e-4,FALSE,FALSE,FALSE
0.74,1k,26.029340277777777,0.2602934027777778,0.7400248015873016,13064,1000,26.029340277777777,189,-10.145550710594256,-29.511567884729548,-19.8285592976619,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,72,25.60440263968961,0.42493763808816726,1.0931077528957633,0.004299548195421636,0.0025789328286153386,FALSE,FALSE,FALSE
